aaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaaa,bbbbbbbbbbbbbbbbbbbbb,cccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaaaa,bbbbbbbbbbbbbbbbbbbb,cccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aa,bbbbbbbbbbbbbbbb,cccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaaaaaaa,bbbbbbbbbb,ccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaa,bbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaaa,bbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
ggg,bbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
nnn,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
vvv,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
ccc,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
mmm,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
",,",bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
ccc,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff
aaaaaaaa,bbbbbbbbbbbbbbbbbbbbbbbbbbb,cccccccccccccc,ddddddddddd,eeeeeeeeeeeee,ffffffffffffffffff